unique_id,graph_type,cluster_label,is_noise,FEN,ECO,Name,new unique ID,move_number,part_index,part_filename,partition_move_id
rnbqkbnr/ppp2ppp/8/3pp3/8/P6P/1PPPPPP1/RNBQKBNR w KQkq -_A00_Creepy Crawly Formation: Classical Defense_white,white,3,FALSE,rnbqkbnr/ppp2ppp/8/3pp3/8/P6P/1PPPPPP1/RNBQKBNR w KQkq -,A00,Creepy Crawly Formation: Classical Defense,rnbqkbnr/ppp2ppp/8/3pp3/8/P6P/1PPPPPP1/RNBQKBNR w KQkq -_A00_Creepy Crawly Formation: Classical Defense,6,1,dashboard_data_part_01.json,6
rnbqkbnr/ppp2ppp/8/3pp3/8/P6P/1PPPPPP1/RNBQKBNR w KQkq -_A00_Creepy Crawly Formation: Classical Defense_black,black,22,FALSE,rnbqkbnr/ppp2ppp/8/3pp3/8/P6P/1PPPPPP1/RNBQKBNR w KQkq -,A00,Creepy Crawly Formation: Classical Defense,rnbqkbnr/ppp2ppp/8/3pp3/8/P6P/1PPPPPP1/RNBQKBNR w KQkq -_A00_Creepy Crawly Formation: Classical Defense,6,1,dashboard_data_part_01.json,6
r1bq1rk1/ppp2ppp/2nb1n2/3pp3/8/PPPPPPP1/7P/RNBQKBNR b KQ -_A00_Formation: Hippopotamus Attack_white,white,-1,TRUE,r1bq1rk1/ppp2ppp/2nb1n2/3pp3/8/PPPPPPP1/7P/RNBQKBNR b KQ -,A00,Formation: Hippopotamus Attack,r1bq1rk1/ppp2ppp/2nb1n2/3pp3/8/PPPPPPP1/7P/RNBQKBNR b KQ -_A00_Formation: Hippopotamus Attack,7,1,dashboard_data_part_01.json,7
r1bq1rk1/ppp2ppp/2nb1n2/3pp3/8/PPPPPPP1/7P/RNBQKBNR b KQ -_A00_Formation: Hippopotamus Attack_black,black,-1,TRUE,r1bq1rk1/ppp2ppp/2nb1n2/3pp3/8/PPPPPPP1/7P/RNBQKBNR b KQ -,A00,Formation: Hippopotamus Attack,r1bq1rk1/ppp2ppp/2nb1n2/3pp3/8/PPPPPPP1/7P/RNBQKBNR b KQ -_A00_Formation: Hippopotamus Attack,7,1,dashboard_data_part_01.json,7
r1bq1rk1/ppp2ppp/2nb1n2/3pp3/8/P2PP1PP/1PPN1PB1/R1BQK1NR b KQ -_A00_Formation: Shy Attack_white,white,71,FALSE,r1bq1rk1/ppp2ppp/2nb1n2/3pp3/8/P2PP1PP/1PPN1PB1/R1BQK1NR b KQ -,A00,Formation: Shy Attack,r1bq1rk1/ppp2ppp/2nb1n2/3pp3/8/P2PP1PP/1PPN1PB1/R1BQK1NR b KQ -_A00_Formation: Shy Attack,8,1,dashboard_data_part_01.json,8
r1bq1rk1/ppp2ppp/2nb1n2/3pp3/8/P2PP1PP/1PPN1PB1/R1BQK1NR b KQ -_A00_Formation: Shy Attack_black,black,-1,TRUE,r1bq1rk1/ppp2ppp/2nb1n2/3pp3/8/P2PP1PP/1PPN1PB1/R1BQK1NR b KQ -,A00,Formation: Shy Attack,r1bq1rk1/ppp2ppp/2nb1n2/3pp3/8/P2PP1PP/1PPN1PB1/R1BQK1NR b KQ -_A00_Formation: Shy Attack,8,1,dashboard_data_part_01.json,8
rnbqkbnr/pp2pppp/2p5/3p4/6P1/8/PPPPPPBP/RNBQK1NR w KQkq -_A00_Grob Opening: Grob Gambit Declined_white,white,12,FALSE,rnbqkbnr/pp2pppp/2p5/3p4/6P1/8/PPPPPPBP/RNBQK1NR w KQkq -,A00,Grob Opening: Grob Gambit Declined,rnbqkbnr/pp2pppp/2p5/3p4/6P1/8/PPPPPPBP/RNBQK1NR w KQkq -_A00_Grob Opening: Grob Gambit Declined,9,1,dashboard_data_part_01.json,9
rnbqkbnr/pp2pppp/2p5/3p4/6P1/8/PPPPPPBP/RNBQK1NR w KQkq -_A00_Grob Opening: Grob Gambit Declined_black,black,68,FALSE,rnbqkbnr/pp2pppp/2p5/3p4/6P1/8/PPPPPPBP/RNBQK1NR w KQkq -,A00,Grob Opening: Grob Gambit Declined,rnbqkbnr/pp2pppp/2p5/3p4/6P1/8/PPPPPPBP/RNBQK1NR w KQkq -_A00_Grob Opening: Grob Gambit Declined,9,1,dashboard_data_part_01.json,9
"rnbqkbnr/ppp1ppp1/8/3p3P/8/8/PPPPPPBP/RNBQK1NR b KQkq -_A00_Grob Opening: Grob Gambit, Basman Gambit_white",white,12,FALSE,rnbqkbnr/ppp1ppp1/8/3p3P/8/8/PPPPPPBP/RNBQK1NR b KQkq -,A00,"Grob Opening: Grob Gambit, Basman Gambit","rnbqkbnr/ppp1ppp1/8/3p3P/8/8/PPPPPPBP/RNBQK1NR b KQkq -_A00_Grob Opening: Grob Gambit, Basman Gambit",10,1,dashboard_data_part_01.json,10
"rnbqkbnr/ppp1ppp1/8/3p3P/8/8/PPPPPPBP/RNBQK1NR b KQkq -_A00_Grob Opening: Grob Gambit, Basman Gambit_black",black,24,FALSE,rnbqkbnr/ppp1ppp1/8/3p3P/8/8/PPPPPPBP/RNBQK1NR b KQkq -,A00,"Grob Opening: Grob Gambit, Basman Gambit","rnbqkbnr/ppp1ppp1/8/3p3P/8/8/PPPPPPBP/RNBQK1NR b KQkq -_A00_Grob Opening: Grob Gambit, Basman Gambit",10,1,dashboard_data_part_01.json,10
"rn1qkbnr/ppp1pppp/8/3p4/2P3b1/8/PP1PPPBP/RNBQK1NR b KQkq -_A00_Grob Opening: Grob Gambit, Fritz Gambit_white",white,0,FALSE,rn1qkbnr/ppp1pppp/8/3p4/2P3b1/8/PP1PPPBP/RNBQK1NR b KQkq -,A00,"Grob Opening: Grob Gambit, Fritz Gambit","rn1qkbnr/ppp1pppp/8/3p4/2P3b1/8/PP1PPPBP/RNBQK1NR b KQkq -_A00_Grob Opening: Grob Gambit, Fritz Gambit",11,1,dashboard_data_part_01.json,11
"rn1qkbnr/ppp1pppp/8/3p4/2P3b1/8/PP1PPPBP/RNBQK1NR b KQkq -_A00_Grob Opening: Grob Gambit, Fritz Gambit_black",black,40,FALSE,rn1qkbnr/ppp1pppp/8/3p4/2P3b1/8/PP1PPPBP/RNBQK1NR b KQkq -,A00,"Grob Opening: Grob Gambit, Fritz Gambit","rn1qkbnr/ppp1pppp/8/3p4/2P3b1/8/PP1PPPBP/RNBQK1NR b KQkq -_A00_Grob Opening: Grob Gambit, Fritz Gambit",11,1,dashboard_data_part_01.json,11
"q3kbnr/p1pnpppp/8/8/2Pp2b1/8/PP1PPP1P/RNBQK1NR w KQk -_A00_Grob Opening: Grob Gambit, Fritz Gambit, Romford Countergambit_white",white,6,FALSE,q3kbnr/p1pnpppp/8/8/2Pp2b1/8/PP1PPP1P/RNBQK1NR w KQk -,A00,"Grob Opening: Grob Gambit, Fritz Gambit, Romford Countergambit","q3kbnr/p1pnpppp/8/8/2Pp2b1/8/PP1PPP1P/RNBQK1NR w KQk -_A00_Grob Opening: Grob Gambit, Fritz Gambit, Romford Countergambit",12,1,dashboard_data_part_01.json,12
"q3kbnr/p1pnpppp/8/8/2Pp2b1/8/PP1PPP1P/RNBQK1NR w KQk -_A00_Grob Opening: Grob Gambit, Fritz Gambit, Romford Countergambit_black",black,-1,TRUE,q3kbnr/p1pnpppp/8/8/2Pp2b1/8/PP1PPP1P/RNBQK1NR w KQk -,A00,"Grob Opening: Grob Gambit, Fritz Gambit, Romford Countergambit","q3kbnr/p1pnpppp/8/8/2Pp2b1/8/PP1PPP1P/RNBQK1NR w KQk -_A00_Grob Opening: Grob Gambit, Fritz Gambit, Romford Countergambit",12,1,dashboard_data_part_01.json,12
"rnbqkbnr/ppp2ppp/8/3p4/3p2P1/2P5/PP2PPBP/RNBQK1NR b KQkq -_A00_Grob Opening: Grob Gambit, Keres Gambit_white",white,7,FALSE,rnbqkbnr/ppp2ppp/8/3p4/3p2P1/2P5/PP2PPBP/RNBQK1NR b KQkq -,A00,"Grob Opening: Grob Gambit, Keres Gambit","rnbqkbnr/ppp2ppp/8/3p4/3p2P1/2P5/PP2PPBP/RNBQK1NR b KQkq -_A00_Grob Opening: Grob Gambit, Keres Gambit",13,1,dashboard_data_part_01.json,13
"rnbqkbnr/ppp2ppp/8/3p4/3p2P1/2P5/PP2PPBP/RNBQK1NR b KQkq -_A00_Grob Opening: Grob Gambit, Keres Gambit_black",black,-1,TRUE,rnbqkbnr/ppp2ppp/8/3p4/3p2P1/2P5/PP2PPBP/RNBQK1NR b KQkq -,A00,"Grob Opening: Grob Gambit, Keres Gambit","rnbqkbnr/ppp2ppp/8/3p4/3p2P1/2P5/PP2PPBP/RNBQK1NR b KQkq -_A00_Grob Opening: Grob Gambit, Keres Gambit",13,1,dashboard_data_part_01.json,13
"rnbqkbnr/pp2pppp/2p5/8/2p3P1/1P6/P2PPPBP/RNBQK1NR b KQkq -_A00_Grob Opening: Grob Gambit, Richter-Grob Gambit_white",white,11,FALSE,rnbqkbnr/pp2pppp/2p5/8/2p3P1/1P6/P2PPPBP/RNBQK1NR b KQkq -,A00,"Grob Opening: Grob Gambit, Richter-Grob Gambit","rnbqkbnr/pp2pppp/2p5/8/2p3P1/1P6/P2PPPBP/RNBQK1NR b KQkq -_A00_Grob Opening: Grob Gambit, Richter-Grob Gambit",14,1,dashboard_data_part_01.json,14
"rnbqkbnr/pp2pppp/2p5/8/2p3P1/1P6/P2PPPBP/RNBQK1NR b KQkq -_A00_Grob Opening: Grob Gambit, Richter-Grob Gambit_black",black,-1,TRUE,rnbqkbnr/pp2pppp/2p5/8/2p3P1/1P6/P2PPPBP/RNBQK1NR b KQkq -,A00,"Grob Opening: Grob Gambit, Richter-Grob Gambit","rnbqkbnr/pp2pppp/2p5/8/2p3P1/1P6/P2PPPBP/RNBQK1NR b KQkq -_A00_Grob Opening: Grob Gambit, Richter-Grob Gambit",14,1,dashboard_data_part_01.json,14
rnbqkbnr/pp3ppp/2p5/3pp3/6P1/7P/PPPPPPB1/RNBQK1NR w KQkq -_A00_Grob Opening: Keene Defense_white,white,-1,TRUE,rnbqkbnr/pp3ppp/2p5/3pp3/6P1/7P/PPPPPPB1/RNBQK1NR w KQkq -,A00,Grob Opening: Keene Defense,rnbqkbnr/pp3ppp/2p5/3pp3/6P1/7P/PPPPPPB1/RNBQK1NR w KQkq -_A00_Grob Opening: Keene Defense,15,1,dashboard_data_part_01.json,15
rnbqkbnr/pp3ppp/2p5/3pp3/6P1/7P/PPPPPPB1/RNBQK1NR w KQkq -_A00_Grob Opening: Keene Defense_black,black,42,FALSE,rnbqkbnr/pp3ppp/2p5/3pp3/6P1/7P/PPPPPPB1/RNBQK1NR w KQkq -,A00,Grob Opening: Keene Defense,rnbqkbnr/pp3ppp/2p5/3pp3/6P1/7P/PPPPPPB1/RNBQK1NR w KQkq -_A00_Grob Opening: Keene Defense,15,1,dashboard_data_part_01.json,15
"rnbqk2r/pp2nppp/2pb4/3p4/2PPp1P1/2N4P/PP2PPB1/R1BQK1NR w KQkq -_A00_Grob Opening: Keene Defense, Main Line_white",white,-1,TRUE,rnbqk2r/pp2nppp/2pb4/3p4/2PPp1P1/2N4P/PP2PPB1/R1BQK1NR w KQkq -,A00,"Grob Opening: Keene Defense, Main Line","rnbqk2r/pp2nppp/2pb4/3p4/2PPp1P1/2N4P/PP2PPB1/R1BQK1NR w KQkq -_A00_Grob Opening: Keene Defense, Main Line",16,1,dashboard_data_part_01.json,16
"rnbqk2r/pp2nppp/2pb4/3p4/2PPp1P1/2N4P/PP2PPB1/R1BQK1NR w KQkq -_A00_Grob Opening: Keene Defense, Main Line_black",black,20,FALSE,rnbqk2r/pp2nppp/2pb4/3p4/2PPp1P1/2N4P/PP2PPB1/R1BQK1NR w KQkq -,A00,"Grob Opening: Keene Defense, Main Line","rnbqk2r/pp2nppp/2pb4/3p4/2PPp1P1/2N4P/PP2PPB1/R1BQK1NR w KQkq -_A00_Grob Opening: Keene Defense, Main Line",16,1,dashboard_data_part_01.json,16
r1bqkbnr/pppp1ppp/2n5/4p3/6P1/7P/PPPPPP2/RNBQKBNR w KQkq -_A00_Grob Opening: London Defense_white,white,2,FALSE,r1bqkbnr/pppp1ppp/2n5/4p3/6P1/7P/PPPPPP2/RNBQKBNR w KQkq -,A00,Grob Opening: London Defense,r1bqkbnr/pppp1ppp/2n5/4p3/6P1/7P/PPPPPP2/RNBQKBNR w KQkq -_A00_Grob Opening: London Defense,17,1,dashboard_data_part_01.json,17
r1bqkbnr/pppp1ppp/2n5/4p3/6P1/7P/PPPPPP2/RNBQKBNR w KQkq -_A00_Grob Opening: London Defense_black,black,61,FALSE,r1bqkbnr/pppp1ppp/2n5/4p3/6P1/7P/PPPPPP2/RNBQKBNR w KQkq -,A00,Grob Opening: London Defense,r1bqkbnr/pppp1ppp/2n5/4p3/6P1/7P/PPPPPP2/RNBQKBNR w KQkq -_A00_Grob Opening: London Defense,17,1,dashboard_data_part_01.json,17
rn1qkbnr/ppp1pppp/8/8/2Pp2b1/8/PP1PPPBP/RNBQK1NR w KQkq -_A00_Grob Opening: Romford Countergambit_white,white,1,FALSE,rn1qkbnr/ppp1pppp/8/8/2Pp2b1/8/PP1PPPBP/RNBQK1NR w KQkq -,A00,Grob Opening: Romford Countergambit,rn1qkbnr/ppp1pppp/8/8/2Pp2b1/8/PP1PPPBP/RNBQK1NR w KQkq -_A00_Grob Opening: Romford Countergambit,18,1,dashboard_data_part_01.json,18
rn1qkbnr/ppp1pppp/8/8/2Pp2b1/8/PP1PPPBP/RNBQK1NR w KQkq -_A00_Grob Opening: Romford Countergambit_black,black,45,FALSE,rn1qkbnr/ppp1pppp/8/8/2Pp2b1/8/PP1PPPBP/RNBQK1NR w KQkq -,A00,Grob Opening: Romford Countergambit,rn1qkbnr/ppp1pppp/8/8/2Pp2b1/8/PP1PPPBP/RNBQK1NR w KQkq -_A00_Grob Opening: Romford Countergambit,18,1,dashboard_data_part_01.json,18
rnbqkbnr/pp2pppp/2p5/3p2P1/8/8/PPPPPPBP/RNBQK1NR b KQkq -_A00_Grob Opening: Spike Attack_white,white,12,FALSE,rnbqkbnr/pp2pppp/2p5/3p2P1/8/8/PPPPPPBP/RNBQK1NR b KQkq -,A00,Grob Opening: Spike Attack,rnbqkbnr/pp2pppp/2p5/3p2P1/8/8/PPPPPPBP/RNBQK1NR b KQkq -_A00_Grob Opening: Spike Attack,19,1,dashboard_data_part_01.json,19
rnbqkbnr/pp2pppp/2p5/3p2P1/8/8/PPPPPPBP/RNBQK1NR b KQkq -_A00_Grob Opening: Spike Attack_black,black,24,FALSE,rnbqkbnr/pp2pppp/2p5/3p2P1/8/8/PPPPPPBP/RNBQK1NR b KQkq -,A00,Grob Opening: Spike Attack,rnbqkbnr/pp2pppp/2p5/3p2P1/8/8/PPPPPPBP/RNBQK1NR b KQkq -_A00_Grob Opening: Spike Attack,19,1,dashboard_data_part_01.json,19
"rnbqkbnr/ppp2ppp/8/3pp3/2P3P1/8/PP1PPPBP/RNBQK1NR b KQkq -_A00_Grob Opening: Spike, Hurst Attack_white",white,0,FALSE,rnbqkbnr/ppp2ppp/8/3pp3/2P3P1/8/PP1PPPBP/RNBQK1NR b KQkq -,A00,"Grob Opening: Spike, Hurst Attack","rnbqkbnr/ppp2ppp/8/3pp3/2P3P1/8/PP1PPPBP/RNBQK1NR b KQkq -_A00_Grob Opening: Spike, Hurst Attack",20,1,dashboard_data_part_01.json,20
"rnbqkbnr/ppp2ppp/8/3pp3/2P3P1/8/PP1PPPBP/RNBQK1NR b KQkq -_A00_Grob Opening: Spike, Hurst Attack_black",black,-1,TRUE,rnbqkbnr/ppp2ppp/8/3pp3/2P3P1/8/PP1PPPBP/RNBQK1NR b KQkq -,A00,"Grob Opening: Spike, Hurst Attack","rnbqkbnr/ppp2ppp/8/3pp3/2P3P1/8/PP1PPPBP/RNBQK1NR b KQkq -_A00_Grob Opening: Spike, Hurst Attack",20,1,dashboard_data_part_01.json,20
rnbqkbnr/ppp1pppp/8/8/4p1P1/2N5/PPPP1P1P/R1BQKBNR b KQkq -_A00_Grob Opening: Zilbermints Gambit_white,white,29,FALSE,rnbqkbnr/ppp1pppp/8/8/4p1P1/2N5/PPPP1P1P/R1BQKBNR b KQkq -,A00,Grob Opening: Zilbermints Gambit,rnbqkbnr/ppp1pppp/8/8/4p1P1/2N5/PPPP1P1P/R1BQKBNR b KQkq -_A00_Grob Opening: Zilbermints Gambit,21,1,dashboard_data_part_01.json,21
rnbqkbnr/ppp1pppp/8/8/4p1P1/2N5/PPPP1P1P/R1BQKBNR b KQkq -_A00_Grob Opening: Zilbermints Gambit_black,black,36,FALSE,rnbqkbnr/ppp1pppp/8/8/4p1P1/2N5/PPPP1P1P/R1BQKBNR b KQkq -,A00,Grob Opening: Zilbermints Gambit,rnbqkbnr/ppp1pppp/8/8/4p1P1/2N5/PPPP1P1P/R1BQKBNR b KQkq -_A00_Grob Opening: Zilbermints Gambit,21,1,dashboard_data_part_01.json,21
"rnbqkbnr/ppp1ppp1/8/7p/4p1P1/2N5/PPPP1P1P/R1BQKBNR w KQkq -_A00_Grob Opening: Zilbermints Gambit, Schiller Defense_white",white,29,FALSE,rnbqkbnr/ppp1ppp1/8/7p/4p1P1/2N5/PPPP1P1P/R1BQKBNR w KQkq -,A00,"Grob Opening: Zilbermints Gambit, Schiller Defense","rnbqkbnr/ppp1ppp1/8/7p/4p1P1/2N5/PPPP1P1P/R1BQKBNR w KQkq -_A00_Grob Opening: Zilbermints Gambit, Schiller Defense",22,1,dashboard_data_part_01.json,22
"rnbqkbnr/ppp1ppp1/8/7p/4p1P1/2N5/PPPP1P1P/R1BQKBNR w KQkq -_A00_Grob Opening: Zilbermints Gambit, Schiller Defense_black",black,-1,TRUE,rnbqkbnr/ppp1ppp1/8/7p/4p1P1/2N5/PPPP1P1P/R1BQKBNR w KQkq -,A00,"Grob Opening: Zilbermints Gambit, Schiller Defense","rnbqkbnr/ppp1ppp1/8/7p/4p1P1/2N5/PPPP1P1P/R1BQKBNR w KQkq -_A00_Grob Opening: Zilbermints Gambit, Schiller Defense",22,1,dashboard_data_part_01.json,22
"rnbqkbnr/ppp2ppp/8/4p3/4p1P1/2NP4/PPP2P1P/R1BQKBNR b KQkq -_A00_Grob Opening: Zilbermints Gambit, Zilbermints-Hartlaub Gambit_white",white,21,FALSE,rnbqkbnr/ppp2ppp/8/4p3/4p1P1/2NP4/PPP2P1P/R1BQKBNR b KQkq -,A00,"Grob Opening: Zilbermints Gambit, Zilbermints-Hartlaub Gambit","rnbqkbnr/ppp2ppp/8/4p3/4p1P1/2NP4/PPP2P1P/R1BQKBNR b KQkq -_A00_Grob Opening: Zilbermints Gambit, Zilbermints-Hartlaub Gambit",23,1,dashboard_data_part_01.json,23
"rnbqkbnr/ppp2ppp/8/4p3/4p1P1/2NP4/PPP2P1P/R1BQKBNR b KQkq -_A00_Grob Opening: Zilbermints Gambit, Zilbermints-Hartlaub Gambit_black",black,13,FALSE,rnbqkbnr/ppp2ppp/8/4p3/4p1P1/2NP4/PPP2P1P/R1BQKBNR b KQkq -,A00,"Grob Opening: Zilbermints Gambit, Zilbermints-Hartlaub Gambit","rnbqkbnr/ppp2ppp/8/4p3/4p1P1/2NP4/PPP2P1P/R1BQKBNR b KQkq -_A00_Grob Opening: Zilbermints Gambit, Zilbermints-Hartlaub Gambit",23,1,dashboard_data_part_01.json,23
r1bqkbnr/ppp3pp/2n5/4Pp2/3pN3/6P1/PPP1PP1P/R1BQKBNR w KQkq f6_A00_Hungarian Opening: Asten Gambit_white,white,-1,TRUE,r1bqkbnr/ppp3pp/2n5/4Pp2/3pN3/6P1/PPP1PP1P/R1BQKBNR w KQkq f6,A00,Hungarian Opening: Asten Gambit,r1bqkbnr/ppp3pp/2n5/4Pp2/3pN3/6P1/PPP1PP1P/R1BQKBNR w KQkq f6_A00_Hungarian Opening: Asten Gambit,24,1,dashboard_data_part_01.json,24
r1bqkbnr/ppp3pp/2n5/4Pp2/3pN3/6P1/PPP1PP1P/R1BQKBNR w KQkq f6_A00_Hungarian Opening: Asten Gambit_black,black,80,FALSE,r1bqkbnr/ppp3pp/2n5/4Pp2/3pN3/6P1/PPP1PP1P/R1BQKBNR w KQkq f6,A00,Hungarian Opening: Asten Gambit,r1bqkbnr/ppp3pp/2n5/4Pp2/3pN3/6P1/PPP1PP1P/R1BQKBNR w KQkq f6_A00_Hungarian Opening: Asten Gambit,24,1,dashboard_data_part_01.json,24
rnbqk1nr/ppp1bppp/8/3p4/4p2N/P2P2P1/1PP1PP1P/RNBQKB1R b KQkq -_A00_Hungarian Opening: Burk Gambit_white,white,0,FALSE,rnbqk1nr/ppp1bppp/8/3p4/4p2N/P2P2P1/1PP1PP1P/RNBQKB1R b KQkq -,A00,Hungarian Opening: Burk Gambit,rnbqk1nr/ppp1bppp/8/3p4/4p2N/P2P2P1/1PP1PP1P/RNBQKB1R b KQkq -_A00_Hungarian Opening: Burk Gambit,25,1,dashboard_data_part_01.json,25
rnbqk1nr/ppp1bppp/8/3p4/4p2N/P2P2P1/1PP1PP1P/RNBQKB1R b KQkq -_A00_Hungarian Opening: Burk Gambit_black,black,-1,TRUE,rnbqk1nr/ppp1bppp/8/3p4/4p2N/P2P2P1/1PP1PP1P/RNBQKB1R b KQkq -,A00,Hungarian Opening: Burk Gambit,rnbqk1nr/ppp1bppp/8/3p4/4p2N/P2P2P1/1PP1PP1P/RNBQKB1R b KQkq -_A00_Hungarian Opening: Burk Gambit,25,1,dashboard_data_part_01.json,25
